0	0	5.9535e-05	-0.000118435
0	1	0	-0.000126824
0	2	4.20062e-06	-8.38924e-06
5	0	0.0146707	-2.39997e-07
5	1	3.80802e-10	-7.39171e-07
5	2	4.20062e-06	-4.99174e-07
10	0	0.0146706	-1.19878e-07
10	1	3.80968e-10	-3.69797e-07
10	2	4.20062e-06	-2.49919e-07
15	0	0.0146705	-7.98919e-08
15	1	3.8099e-10	-2.46546e-07
15	2	4.20062e-06	-1.66654e-07
20	0	0.0146705	-5.99089e-08
20	1	3.80998e-10	-1.8491e-07
20	2	4.20062e-06	-1.25001e-07
25	0	0.0146705	-4.79223e-08
25	1	3.81001e-10	-1.47927e-07
25	2	4.20062e-06	-1.00005e-07
30	0	0.0146705	-3.99326e-08
30	1	3.81003e-10	-1.23272e-07
30	2	4.20062e-06	-8.33392e-08
35	0	0.0146705	-3.42263e-08
35	1	3.81004e-10	-1.05661e-07
35	2	4.20062e-06	-7.14346e-08
40	0	0.0146705	-2.9947e-08
40	1	3.81005e-10	-9.24527e-08
40	2	4.20062e-06	-6.25058e-08
45	0	0.0146705	-2.66188e-08
45	1	3.81005e-10	-8.21798e-08
45	2	4.20062e-06	-5.5561e-08
